self.territories = {
            'Alaska': {'owner': None, 'troops': 4},
            'Alberta': {'owner': None, 'troops': 4},
            'Argentina': {'owner': None, 'troops': 2},
            'Brazil': {'owner': None, 'troops': 3},
            'Central America': {'owner': None, 'troops': 3},
            'China': {'owner': None, 'troops': 7},
            'Congo': {'owner': None, 'troops': 3},
            'East Africa': {'owner': None, 'troops': 3},
            'Eastern Australia': {'owner': None, 'troops': 3},
            'Eastern United States': {'owner': None, 'troops': 4},
            'Egypt': {'owner': None, 'troops': 3},
            'Great Britain': {'owner': None, 'troops': 4},
            'Greenland': {'owner': None, 'troops': 4},
            'Iceland': {'owner': None, 'troops': 3},
            'India': {'owner': None, 'troops': 3},
            'Indonesia': {'owner': None, 'troops': 4},
            'Irkutsk': {'owner': None, 'troops': 3},
            'Japan': {'owner': None, 'troops': 4},
            'Kamchatka': {'owner': None, 'troops': 4},
            'Madagascar': {'owner': None, 'troops': 2},
            'Middle East': {'owner': None, 'troops': 3},
            'Mongolia': {'owner': None, 'troops': 4},
            'New Guinea': {'owner': None, 'troops': 3},
            'North Africa': {'owner': None, 'troops': 3},
            'Northern Europe': {'owner': None, 'troops': 3},
            'Northwest Territory': {'owner': None, 'troops': 4},
            'Ontario': {'owner': None, 'troops': 4},
            'Peru': {'owner': None, 'troops': 2},
            'Quebec': {'owner': None, 'troops': 4},
            'Scandinavia': {'owner': None, 'troops': 3},
            'Siam': {'owner': None, 'troops': 3},
            'Siberia': {'owner': None, 'troops': 4},
            'South Africa': {'owner': None, 'troops': 3},
            'Southern Europe': {'owner': None, 'troops': 3},
            'Ukraine': {'owner': None, 'troops': 4},
            'Ural': {'owner': None, 'troops': 3},
            'Venezuela': {'owner': None, 'troops': 2},
            'Western Australia': {'owner': None, 'troops': 2},
            'Western Europe': {'owner': None, 'troops': 3},
            'Western United States': {'owner': None, 'troops': 4},
            'Yakutsk': {'owner': None, 'troops': 3},
        }
